scrape_time,station,forecast_date,max_temp,min_temp,forecast,warning
2026-07-09 12:55:53.575643,Mumbai-Colaba,9-JUL,30,26,Generally cloudy sky with moderate rain,No warning
2026-07-09 12:55:53.616997,Mumbai-Colaba,10-JUL,31,26,Generally cloudy sky with moderate rain,No warning
2026-07-09 12:55:53.657288,Mumbai-Colaba,11-JUL,32,26,Generally cloudy sky with Light rain,No warning
2026-07-09 12:55:53.696926,Mumbai-Colaba,12-JUL,32,25,Generally cloudy sky with Light rain,No warning
2026-07-09 12:55:53.734849,Mumbai-Colaba,13-JUL,31,25,Generally cloudy sky with Light rain,No warning
2026-07-09 12:55:53.774713,Mumbai-Colaba,14-JUL,31,25,Generally cloudy sky with Light rain,No warning
2026-07-09 12:55:53.812923,Mumbai-Colaba,15-JUL,31,25,Generally cloudy sky with Light rain,No warning
2026-07-09 13:34:18.821853,Mumbai-Colaba,9-JUL,31,26,Generally cloudy sky with Light rain,No warning
2026-07-09 13:34:18.869734,Mumbai-Colaba,10-JUL,31,26,Generally cloudy sky with Light rain,No warning
2026-07-09 13:34:18.916116,Mumbai-Colaba,11-JUL,32,26,Generally cloudy sky with Light rain,No warning
2026-07-09 13:34:18.963327,Mumbai-Colaba,12-JUL,32,25,Generally cloudy sky with Light rain,No warning
2026-07-09 13:34:19.008705,Mumbai-Colaba,13-JUL,31,25,Generally cloudy sky with Light rain,No warning
2026-07-09 13:34:19.050297,Mumbai-Colaba,14-JUL,31,25,Generally cloudy sky with Light rain,No warning
2026-07-09 13:34:19.092621,Mumbai-Colaba,15-JUL,31,25,Generally cloudy sky with Light rain,No warning
2026-07-09 15:23:54.974068,Mumbai-Colaba,9-JUL,31,26,Generally cloudy sky with Light rain,No warning
2026-07-09 15:23:55.018498,Mumbai-Colaba,10-JUL,31,26,Generally cloudy sky with Light rain,No warning
2026-07-09 15:23:55.063132,Mumbai-Colaba,11-JUL,32,26,Generally cloudy sky with Light rain,No warning
2026-07-09 15:23:55.107903,Mumbai-Colaba,12-JUL,32,25,Generally cloudy sky with Light rain,No warning
2026-07-09 15:23:55.150003,Mumbai-Colaba,13-JUL,31,25,Generally cloudy sky with Light rain,No warning
2026-07-09 15:23:55.188517,Mumbai-Colaba,14-JUL,31,25,Generally cloudy sky with Light rain,No warning
2026-07-09 15:23:55.227828,Mumbai-Colaba,15-JUL,31,25,Generally cloudy sky with Light rain,No warning
2026-07-09 19:56:03.265287,Mumbai-Colaba,9-JUL,31,26,Generally cloudy sky with Light rain,No warning
2026-07-09 19:56:03.308372,Mumbai-Colaba,10-JUL,31,26,Generally cloudy sky with Light rain,No warning
